name,date,value,category
CPH Ramanayake ,1982-12-31,0,SL
CPS Chauhan ,1982-12-31,0,IND
CR Amini ,1982-12-31,0,PNG
CR Brathwaite ,1982-12-31,0,WI
CR Ervine ,1982-12-31,0,ZIM
CR Foggo ,1982-12-31,0,BER
CR Matthews ,1982-12-31,0,SA
CR Woakes ,1982-12-31,0,ENG
CRD Fernando ,1982-12-31,0,SL
CRM Douglas ,1982-12-31,0,BER
CS Baugh ,1982-12-31,0,WI
CS Cowdrey ,1982-12-31,0,ENG
CS MacLeod ,1982-12-31,0,SCOT
CS Martin ,1982-12-31,0,NZ
CS Pandit ,1982-12-31,0,IND
CS Serjeant ,1982-12-31,0,AUS
CT Mumba ,1982-12-31,0,ZIM
CT Mutombodzi ,1982-12-31,0,ZIM
CT Radley ,1982-12-31,0,ENG
CT Tremlett ,1982-12-31,0,ENG
CW Henderson ,1982-12-31,0,SA
CW Perchard ,1982-12-31,0,JER
CWJ Athey ,1982-12-31,0,ENG
CZ Harris ,1982-12-31,0,NZ
D Bau ,1982-12-31,0,PNG
D Birrell ,1982-12-31,0,JER
D Bishoo ,1982-12-31,0,WI
D Brown ,1982-12-31,0,WI
D Cleaver ,1982-12-31,0,NZ
D Daesrath ,1982-12-31,0,CAN
D Dasgupta ,1982-12-31,0,IND
D Elgar ,1982-12-31,0,SA
D Foxcroft ,1982-12-31,0,NZ
D Gamage ,1982-12-31,0,SL
D Ganesh ,1982-12-31,0,IND
D Ganga ,1982-12-31,0,WI
D Gough ,1982-12-31,0,ENG
D Heyliger ,1982-12-31,0,CAN
D Joseph ,1982-12-31,0,CAN
D Keulder ,1982-12-31,0,NAM
D Khanal ,1982-12-31,0,NEP
D la Cock ,1982-12-31,0,NAM
D Lakshan ,1982-12-31,0,SL
D Langford-Smith ,1982-12-31,0,IRE
D Lloyd ,1982-12-31,0,ENG
D Madushanka ,1982-12-31,0,SL
D Mohammed ,1982-12-31,0,WI
D Mongia ,1982-12-31,0,IND
D Murphy ,1982-12-31,0,SCOT
D Myers ,1982-12-31,0,ZIM
D Olivier ,1982-12-31,0,SA
D Paterson ,1982-12-31,0,SA
D Pretorius ,1982-12-31,0,SA
D Ramdin ,1982-12-31,0,WI
D Ramnarine ,1982-12-31,0,WI
D Ranatunga ,1982-12-31,0,SL
D Ravu ,1982-12-31,0,PNG
D Soraine ,1982-12-31,0,CAN
D Wiese ,1982-12-31,0,NAM
D Williams ,1982-12-31,0,WI
DA Gunawardene ,1982-12-31,0,SL
DA Marillier ,1982-12-31,0,ZIM
DA Miller ,1982-12-31,0,SA
DA Minors ,1982-12-31,0,BER
DA Murray ,1982-12-31,6,WI
DA Payne ,1982-12-31,0,ENG
DA Reeve ,1982-12-31,0,ENG
DA Stirling ,1982-12-31,0,NZ
DA Warner ,1982-12-31,0,AUS
DAG Fletcher ,1982-12-31,0,ZIM
DAJ Bracewell ,1982-12-31,0,NZ
Danish Aziz ,1982-12-31,0,PAK
Danish Kaneria ,1982-12-31,0,PAK
DAS Gunaratne ,1982-12-31,0,SL
DAW Hollis ,1982-12-31,0,BER
Dawlat Ahmadzai ,1982-12-31,0,AFG
Dawlat Zadran ,1982-12-31,0,AFG
DB Close ,1982-12-31,0,ENG
DB Kotze ,1982-12-31,0,NAM
DB Rundle ,1982-12-31,0,SA
DB Vengsarkar ,1982-12-31,167,IND
DBL Powell ,1982-12-31,0,WI
DC Boon ,1982-12-31,0,AUS
DC Drakes ,1982-12-31,0,WI
DC Thomas ,1982-12-31,0,WI
DCC Borden ,1982-12-31,0,BER
DD Ebrahim ,1982-12-31,0,ZIM
DDP D'Silva ,1982-12-31,0,UAE
DE Bernard ,1982-12-31,0,WI
DE Bollinger ,1982-12-31,0,AUS
DE Budge ,1982-12-31,0,SCOT
DE Malcolm ,1982-12-31,0,ENG
DES Maxwell ,1982-12-31,0,CAN
DF Watts ,1982-12-31,0,SCOT
DF Whatmore ,1982-12-31,0,AUS
DG Blampied ,1982-12-31,0,JER
DG Brownlie ,1982-12-31,0,NZ
DG Cork ,1982-12-31,0,ENG
DH Brain ,1982-12-31,0,ZIM
Dhiman Ghosh ,1982-12-31,0,BAN
